comparison,control,candidate,split,pathway,metric,control_value,candidate_value,delta_candidate_better
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Angiogenesis,z_rmse,0.8748019700136933,0.8729092829093249,0.0018926871043684068
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Angiogenesis,ssim,-0.05783863700219697,-0.034234802883874885,0.023603834118322085
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Angiogenesis,abs_moran_delta,0.09385825487637356,0.1443261445939239,-0.05046788971755034
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Apoptosis,pcc,0.42556412479231337,0.4148955165487826,-0.010668608243530775
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Apoptosis,ccc,0.3357628722129514,0.3232731005306617,-0.012489771682289708
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Apoptosis,z_rmse,0.6291958993130659,0.6374258304541958,-0.00822993114112991
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Apoptosis,ssim,0.1959818169924494,0.1971423729829311,0.0011605559904817042
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Apoptosis,abs_moran_delta,0.032844362949487116,0.009007469670701818,0.0238368932787853
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,TNF_Signaling,pcc,0.29827433165095085,0.322337929400544,0.024063597749593157
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,TNF_Signaling,ccc,0.22004976546139784,0.21669894508829649,-0.0033508203731013597
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,TNF_Signaling,z_rmse,0.7447434475974707,0.7638502857697541,-0.019106838172283425
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,TNF_Signaling,ssim,0.19520810459488747,0.16779483927317787,-0.027413265321709596
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,TNF_Signaling,abs_moran_delta,0.07902048166335762,0.10776864095090538,-0.02874815928754776
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ECM_Organization,pcc,0.7305805694927303,0.7152281381086385,-0.015352431384091814
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ECM_Organization,ccc,0.720019712531626,0.6944253549720925,-0.025594357559533543
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ECM_Organization,z_rmse,0.44357264042323624,0.45823137781820383,-0.014658737394967591
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ECM_Organization,ssim,0.7154302674230615,0.6809370742481314,-0.03449319317493005
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,ECM_Organization,abs_moran_delta,0.15407557612925488,0.16259511048222203,-0.00851953435296715
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tls,pcc,0.7567795709879062,0.7508973627956149,-0.005882208192291238
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tls,ccc,0.704942518194753,0.7052814665959843,0.00033894840123138703
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tls,z_rmse,0.54383434080258,0.5469041142553149,-0.0030697734527349585
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tls,ssim,,,
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tls,abs_moran_delta,0.1427172211519874,0.13788278041561025,0.004834440736377149
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tgfb,pcc,0.5336644663248403,0.5243167893397152,-0.009347676985125175
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tgfb,ccc,0.4270602207011929,0.4240723315893196,-0.0029878891118733097
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tgfb,z_rmse,0.6590087541702895,0.6625057474301163,-0.003496993259826775
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tgfb,ssim,,,
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,tgfb,abs_moran_delta,0.197368977865141,0.2179142263005307,-0.020545248435389712
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,emt,pcc,0.7193214677732394,0.7161000065392699,-0.0032214612339694915
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,emt,ccc,0.68176181217755,0.6741376703533284,-0.007624141824221664
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,emt,z_rmse,0.5956211138064242,0.6020626522658329,-0.006441538459408647
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,emt,ssim,,,
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,emt,abs_moran_delta,0.18727908028227755,0.1981079239282956,-0.01082884364601805
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,hypoxia,pcc,0.6604707226697057,0.6605645286946391,9.380602493336276e-05
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,hypoxia,ccc,0.6072885995457864,0.609006171816999,0.0017175722712126085
