experiment,arm,evidence_status,split,comparison_split,metric,mean,median,q1,q3,iqr,min,max,valid_pathways,baseline,fbr_mean,delta_candidate_better,delta_definition
lora_s0,S0,accepted_smoke,internal_val,internal_val,ssim,,,,,,,,0,w007_fbr,,,candidate_mean-FBR_mean (positive=candidate_better)
lora_s0,S0,accepted_smoke,internal_val,internal_val,z_mae,0.45841696752797356,0.4581284336426892,0.4052891613413123,0.5000381080020223,0.09474894666070999,0.31872608476885483,0.6737227411285388,30,w007_fbr,0.45681356667509454,-0.0016034008528790222,FBR_mean-candidate_mean (positive=candidate_better)
lora_s0,S0,accepted_smoke,internal_val,internal_val,z_rmse,0.5992795737466152,0.5946021410277718,0.5468132465471665,0.6358117774909126,0.0889985309437461,0.41726554777374764,0.8953852520788922,30,w007_fbr,0.595960664292921,-0.0033189094536941743,FBR_mean-candidate_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,internal_val,internal_val,abs_moran_delta,0.1666874438834499,0.13773064201351046,0.10667266305675976,0.2454408651464044,0.13876820208964463,0.07593353056167103,0.31523030770921656,30,w007_fbr,0.1715496360135799,0.004862192130130005,FBR_mean-candidate_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,internal_val,internal_val,ccc,0.6081888736408776,0.6335452945280378,0.5275332794635422,0.6982268664052752,0.17069358694173298,0.34937115702174165,0.8359428483539272,30,w007_fbr,0.6078239843350842,0.00036488930579337,candidate_mean-FBR_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,internal_val,internal_val,nrmse_sigma_train,0.6022882664809539,0.599172150866798,0.5505448675046465,0.645217110960492,0.09467224345584546,0.42274006515234586,0.9003039222719534,30,w007_fbr,0.595960664292921,-0.006327602188032855,FBR_mean-candidate_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,internal_val,internal_val,pcc,0.6649530848307278,0.6931141614567933,0.5881584066028318,0.7408535978513542,0.15269519124852238,0.4336625055634795,0.867503271107674,30,w007_fbr,0.6673692342133599,-0.0024161493826321268,candidate_mean-FBR_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,internal_val,internal_val,raw_mae,897.9109952023758,846.9447966234784,802.3283790325014,1006.5503951256145,204.2220160931131,543.3244175611561,1654.0515338997773,30,w007_fbr,887.7433103903018,-10.167684812074071,FBR_mean-candidate_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,internal_val,internal_val,raw_r2,0.17922204130618463,0.42439853012879675,0.2876779784658445,0.5007067164050429,0.21302873793919846,-6.7279188918041095,0.7162192227405235,30,w007_fbr,0.14269255869469882,0.03652948261148581,candidate_mean-FBR_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,internal_val,internal_val,ssim,,,,,,,,0,w007_fbr,,,candidate_mean-FBR_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,internal_val,internal_val,z_mae,0.46171820754507975,0.45584617960874363,0.4111979518913856,0.4999198225548205,0.0887218706634349,0.3277675601917351,0.6816289936474157,30,w007_fbr,0.45681356667509454,-0.004904640869985211,FBR_mean-candidate_mean (positive=candidate_better)
lora_s1,S1,accepted_smoke,internal_val,internal_val,z_rmse,0.6022882664809539,0.599172150866798,0.5505448675046465,0.645217110960492,0.09467224345584546,0.42274006515234586,0.9003039222719532,30,w007_fbr,0.595960664292921,-0.006327602188032855,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,abs_moran_delta,0.17081887786171815,0.13620167717091203,0.10861257280007473,0.24754528444134066,0.13893271164126592,0.07025957254088928,0.3368855211247553,30,w007_fbr,0.1715496360135799,0.0007307581518617434,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,ccc,0.610275653855219,0.6358861167036541,0.5154319744297345,0.6963262912528724,0.18089431682313784,0.3612585062498174,0.8486746850318158,30,w007_fbr,0.6078239843350842,0.0024516695201347583,candidate_mean-FBR_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,nrmse_sigma_train,0.5945455219998638,0.5916078241182908,0.5442426712384778,0.6366470195800911,0.09240434834161326,0.4061553442084278,0.8924641260595331,30,w007_fbr,0.595960664292921,0.001415142293057281,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,pcc,0.668860705205277,0.6956521590613385,0.5909186648437759,0.74184071707058,0.1509220522268041,0.4455237519093458,0.8748853796111803,30,w007_fbr,0.6673692342133599,0.0014914709919170432,candidate_mean-FBR_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,raw_mae,884.5954434776783,843.7458288194559,781.6306800206359,984.7394411347916,203.10876111415575,538.3269000789709,1648.812786853654,30,w007_fbr,887.7433103903018,3.147866912623499,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,raw_r2,0.19903010709798036,0.44239236104251867,0.29726874604021986,0.5217995569443459,0.22453081090412602,-6.618113268505536,0.7377011046749765,30,w007_fbr,0.14269255869469882,0.056337548403281534,candidate_mean-FBR_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,ssim,,,,,,,,0,w007_fbr,,,candidate_mean-FBR_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,z_mae,0.4554242559761955,0.45243432371678316,0.40136360287313577,0.49892922274753787,0.0975656198744021,0.3149558283727744,0.6711551600878987,30,w007_fbr,0.45681356667509454,0.0013893106988990267,FBR_mean-candidate_mean (positive=candidate_better)
w007_cpgcr,CPGCR,accepted,internal_val,internal_val,z_rmse,0.5945455219998638,0.5916078241182907,0.5442426712384778,0.6366470195800911,0.09240434834161326,0.4061553442084278,0.8924641260595331,30,w007_fbr,0.595960664292921,0.001415142293057281,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,internal_val,internal_val,abs_moran_delta,0.1715496360135799,0.13666592867105537,0.10240401528642665,0.25534983297862296,0.1529458176921963,0.07110169831311253,0.3376747382244396,30,w007_fbr,0.1715496360135799,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,internal_val,internal_val,ccc,0.6078239843350842,0.6328158901656019,0.5192922682214149,0.6948912073022628,0.1755989390808479,0.36688847012905473,0.8438368416311314,30,w007_fbr,0.6078239843350842,0.0,candidate_mean-FBR_mean (positive=candidate_better)
w007_fbr,FBR,accepted,internal_val,internal_val,nrmse_sigma_train,0.595960664292921,0.5927236086013098,0.5455298674524438,0.6383389178354801,0.09280905038303633,0.4067381145536344,0.8931390874949557,30,w007_fbr,0.595960664292921,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,internal_val,internal_val,pcc,0.6673692342133599,0.6951850865853662,0.5875740594063987,0.7416053292446327,0.154031269838234,0.44132991484000206,0.873342958318462,30,w007_fbr,0.6673692342133599,0.0,candidate_mean-FBR_mean (positive=candidate_better)
w007_fbr,FBR,accepted,internal_val,internal_val,raw_mae,887.7433103903018,843.2133318408863,786.1135478832599,984.3721955647995,198.25864768153963,542.5497830130666,1664.3596846840162,30,w007_fbr,887.7433103903018,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,internal_val,internal_val,raw_r2,0.14269255869469882,0.4396863126681352,0.29552697589072413,0.519703908718071,0.2241769328273469,-8.216878482124372,0.7368028007751898,30,w007_fbr,0.14269255869469882,0.0,candidate_mean-FBR_mean (positive=candidate_better)
w007_fbr,FBR,accepted,internal_val,internal_val,ssim,,,,,,,,0,w007_fbr,,,candidate_mean-FBR_mean (positive=candidate_better)
w007_fbr,FBR,accepted,internal_val,internal_val,z_mae,0.45681356667509454,0.45239125840092176,0.40590018891916485,0.502447484058128,0.09654729513896315,0.3165336546384481,0.672833304316419,30,w007_fbr,0.45681356667509454,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_fbr,FBR,accepted,internal_val,internal_val,z_rmse,0.595960664292921,0.5927236086013099,0.5455298674524438,0.6383389178354801,0.09280905038303633,0.40673811455363434,0.8931390874949557,30,w007_fbr,0.595960664292921,0.0,FBR_mean-candidate_mean (positive=candidate_better)
w007_hcr,HCR,accepted,internal_val,internal_val,abs_moran_delta,0.1709216243250224,0.13636233702060552,0.10615610152169183,0.2538559567186817,0.1476998551969899,0.06989171124521933,0.335698967256497,30,w007_fbr,0.1715496360135799,0.0006280116885575004,FBR_mean-candidate_mean (positive=candidate_better)
w007_hcr,HCR,accepted,internal_val,internal_val,ccc,0.6086773826042394,0.6365213089534839,0.5115871166117618,0.6948156949500762,0.1832285783383144,0.36102335144909325,0.8482940350989333,30,w007_fbr,0.6078239843350842,0.0008533982691552033,candidate_mean-FBR_mean (positive=candidate_better)
w007_hcr,HCR,accepted,internal_val,internal_val,nrmse_sigma_train,0.5951035594746709,0.5925361469276564,0.5438318396468451,0.6359456040756468,0.0921137644288017,0.40583486054497836,0.8932905207823657,30,w007_fbr,0.595960664292921,0.0008571048182501873,FBR_mean-candidate_mean (positive=candidate_better)
