analysis_id,analysis_class,evidence_status,attempt_id,arm,analysis_card_id,task,seed,fold,split,n,n_positive,n_negative,auc,auprc,brier,calibration_intercept,calibration_slope,calibration_status,calibration_reason
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,4,test,31,15,16,0.9833333333333334,0.9859649122807017,0.07159441065279373,-0.44319429884342393,3.5223564248068473,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,4,validation,31,15,16,0.9,0.9061598440545808,0.13211002257598212,-0.16493414569201062,1.4231839076240813,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,0,test,31,15,16,0.8791666666666667,0.9172141583906288,0.12582597511997584,0.7050884766783753,1.273805457812979,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,0,validation,31,15,16,0.85,0.8893950058655941,0.14913775391688092,0.08678181320891716,1.0426787120907874,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,1,test,31,15,16,0.9166666666666666,0.9363492063492063,0.11449257474651803,0.05452698486826285,2.0761621936222103,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,1,validation,31,15,16,0.8458333333333333,0.8841000616822651,0.13754329746751626,0.10786486511479905,1.1126964169927576,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,2,test,31,15,16,0.8958333333333333,0.9227322067711083,0.14518001251490562,-0.5806010038617404,1.6618667140298315,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,2,validation,31,15,16,0.9291666666666667,0.9339433551198257,0.12203096824025284,0.7447148150398382,2.1018845075245562,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,3,test,31,15,16,0.9625,0.9581902737785091,0.10702302246578393,0.8607885771910888,1.8094187888486697,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,3,validation,31,15,16,0.875,0.9072463768115941,0.13545087282869683,-0.13782865721535176,1.1340661630722924,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,4,test,31,15,16,0.7125,0.6810367945894261,0.2135000628680914,0.003188414845264247,0.8259439408364034,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,42,4,validation,31,15,16,0.7583333333333333,0.7085507085507086,0.2012380964363976,-0.011651897087756038,1.0228023818319132,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,61,0,test,31,15,16,0.8583333333333334,0.8850179014884896,0.15011655355363215,0.21668122118952926,0.9135781036564591,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,61,0,validation,31,15,16,0.8625,0.8479133588576313,0.1556354532534128,-0.22259936997350394,0.8863298406895788,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,61,1,test,31,15,16,0.8125,0.8575837317216627,0.18349256272195744,-0.20383800461256635,0.7719542866866881,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,61,1,validation,31,15,16,0.8541666666666667,0.8587491828203901,0.16151797200003018,-0.3408072049265099,1.0618733006417433,computed,
