pathway,prediction_decile,n_patches,mean_true,mean_prediction,mean_residual_pred_minus_true,mae
mhc,8,104,9031.25769726222,9365.674632368922,334.41693510670405,334.41693510670405
mhc,9,104,9038.104224857792,9463.930314380072,425.82608952227906,425.82608952227906
mhc,10,104,9043.392982080813,9644.293114317754,600.9001322369415,600.9001322369415
icp,1,104,-3771.7835007902668,-5267.009729519238,-1495.2262287289705,1809.6094570891412
icp,2,104,-3628.4040988052298,-4886.26651404658,-1257.8624152413508,1627.9902176237842
icp,3,104,-3346.227449289781,-4695.043346850477,-1348.8158975606962,1800.6043363270667
icp,4,104,-3458.8650269117493,-4531.093155757577,-1072.2281288458269,1466.5267947039408
icp,5,104,-3066.529589286881,-4368.386505305965,-1301.8569160190843,1616.2557839668166
icp,6,103,-2888.5373115077027,-4205.842420524769,-1317.3051090170668,1832.9699296502486
icp,7,104,-3078.3937922589776,-4030.45212452044,-952.0583322614626,1593.150385755797
icp,8,104,-2305.483503293136,-3799.6898386783027,-1494.2063353851668,1899.866834948932
icp,9,104,-2204.8099203943334,-3470.0517320785866,-1265.2418116842528,1889.8349474272914
icp,10,104,-1885.9900279552505,-2338.068696449795,-452.0786684945443,1729.3689229934641
ifng,1,104,-355.974590992236,-2226.5009983835134,-1870.5264073912779,2159.1917446009056
ifng,2,104,420.80692903509896,-1454.5095277555147,-1875.3164567906135,2110.411327209141
ifng,3,104,566.5898425545383,-1124.8724164159432,-1691.4622589704816,2014.058726793441
ifng,4,104,686.7944595498478,-839.4562088894397,-1526.2506684392877,1896.7800816200117
ifng,5,104,891.0028840976909,-575.237008699635,-1466.2398927973259,1933.1679336902962
ifng,6,103,823.3979753336623,-318.0563442412274,-1141.4543195748897,1699.5239419186116
ifng,7,104,548.3968833925534,-52.31322889473467,-600.7101122872882,1551.3471204295768
ifng,8,104,784.1441594487933,247.6317155112829,-536.5124439375104,1602.9980274835643
ifng,9,104,929.5107333255066,671.0580685895322,-258.45266473597434,1677.3228230917896
ifng,10,104,880.2250882881045,1517.8915490721479,637.6664607840435,1807.39515409907
toxic,1,104,-4004.1464839095092,-4895.188009590559,-891.0415256810488,1387.8452237200413
