grid_size_px,cell_x,cell_y,pathway,n_patches,bias,mae,raw_r2
1024,13,5,Reactive_Oxygen_Species,18,-336.50633789654944,603.7534057528758,-0.12211045121730302
1024,13,5,Wound_Healing,18,-322.4037668055408,773.4872408705311,-0.01780584775858851
1024,13,5,Fibrosis,18,59.27542855092489,1115.9094258354753,0.630235243424286
1024,13,5,MYC_Targets,18,-994.1528212810715,994.1528212810715,-2.0645360692890793
1024,13,5,E2F_Targets,18,-1338.375173519652,1383.5499284813507,-1.0428613006880019
1024,13,5,G2M_Checkpoint,18,-1117.4297284541722,1627.0776100467544,0.23127978119761972
1024,13,5,Mitotic_Spindle,18,-827.3906873331752,1256.9178379914918,0.2918936404472656
1024,13,5,Unfolded_Protein_Response,18,-949.5622345287197,1135.6728669491224,-0.9064852620671431
1024,13,5,mTOR_Signaling,18,13.779847404469669,951.4482385945007,0.35077142733047817
1024,13,5,Interferon_Alpha,18,-1898.3880035271484,1898.3880035271484,-8.048136995229248
1024,13,5,Angiogenesis,18,476.2002948156661,1090.405112316219,0.29066739499261607
1024,13,5,Apoptosis,18,-469.7653389889565,790.8617590965358,-0.5140009158108889
1024,13,5,TNF_Signaling,18,-816.335030926968,1189.5971886103584,-0.1808003327464185
1024,13,5,ECM_Organization,18,6.029141038792381,664.8430732542449,0.7974966358748643
1024,13,6,tls,25,629.7727618803052,893.7309554113021,-1.3910818382476844
1024,13,6,tgfb,25,-645.3071995107879,799.530693741071,-1.8308967557555587
1024,13,6,emt,25,753.4824668955663,865.5803270339132,-0.2104671574569308
1024,13,6,hypoxia,25,-439.9326371833618,796.9327246331399,-0.6010276196577506
1024,13,6,mhc,25,117.4178637084044,171.61553870661047,-641.9116302682103
1024,13,6,icp,25,-1791.65632022713,2300.0715030517727,-0.6191435824629072
1024,13,6,ifng,25,-63.90861368518465,1260.6326028705835,-0.3061715790981585
1024,13,6,toxic,25,-499.2204135887291,2217.824625859292,-0.05182199597339787
1024,13,6,Glycolysis,25,-1176.9459773189146,1176.9459773189146,-10.093897545447206
1024,13,6,Inflammatory_Response,25,-1150.693596526528,1393.656673712984,-0.7903081116899711
1024,13,6,IL6_JAK_STAT3,25,-1545.7465267755294,1545.7465267755294,-12.872636507087922
1024,13,6,P53_Pathway,25,-1332.8603771455166,1412.076526692501,-3.924139994897133
1024,13,6,DNA_Damage_Response,25,-1440.8175110903394,1440.8175110903394,-5.181735805976814
1024,13,6,Complement,25,-1746.9501510383498,1854.4831970522955,-3.0739133560104692
1024,13,6,Coagulation,25,-116.64613936215471,551.1107361124174,-0.30060330435239724
1024,13,6,Oxidative_Phosphorylation,25,-175.48591801649837,471.1062287775275,-0.7562111569536942
1024,13,6,Reactive_Oxygen_Species,25,-967.7585733396987,1002.7559112583896,-2.218764774152875
1024,13,6,Wound_Healing,25,-224.05196091415127,653.0635527018368,0.40845308065294217
1024,13,6,Fibrosis,25,-106.43532761734929,803.8755651642007,0.4835559083519553
1024,13,6,MYC_Targets,25,-662.2120574841082,747.7698373952079,-2.2338290953144697
1024,13,6,E2F_Targets,25,-1303.6457566959098,1352.6847477544557,-4.843309336911281
1024,13,6,G2M_Checkpoint,25,-2045.6312417878196,2045.6312417878196,-4.56383652794279
1024,13,6,Mitotic_Spindle,25,-1847.597524169503,1857.507964719366,-6.34797336487993
1024,13,6,Unfolded_Protein_Response,25,-941.4689806880144,1000.8346887889073,-1.5047341477051517
1024,13,6,mTOR_Signaling,25,-303.8928340752072,633.9389650304327,-0.2620556423235578
1024,13,6,Interferon_Alpha,25,-1689.6832917570996,1689.6832917570996,-7.841096668737956
